recno,KOI,N,tn,O-C,e_O-C,f_O-C,TDV,e_TDV,f_TDV,TPV,e_TPV,f_TPV,Out,Over
48735,351.02,0,80.099104,1.1,1.9, ,0.0187,0.006, ,-0.01,0.012, ,0,0
48736,351.02,1,290.692618,-204.9,2.6, ,9.0E-4,0.0085, ,0.023,0.012, ,0,0
48737,351.02,2,501.286131,-3.9,2.0, ,0.0206,0.0061, ,0.021,0.012, ,0,0
48738,351.02,4,922.473158,6.4,2.0, ,0.0199,0.0064, ,-0.023,0.012, ,0,0
48739,351.02,5,1133.066671,-3.6,2.3, ,0.0258,0.0073, ,0.008,0.013, ,0,0
48740,351.02,6,1343.660184,-21.0,21.0, ,0.64,0.047, ,-1.146,0.068, ,56,0
48741,351.03,0,91.960108,-17.0,11.0, ,0.015,0.046, ,-0.152,0.099, ,0,0
48742,351.03,1,151.69732,-7.6,5.4, ,0.004,0.023, ,0.156,0.072, ,0,0
48743,351.03,2,211.434533,6.0,12.0, ,0.052,0.053, ,-0.053,0.088, ,0,0
48744,351.03,3,271.171745,3.0,10.0, ,-0.017,0.049, ,0.083,0.082, ,0,0
48745,351.03,5,390.64617,-6.0,11.0, ,0.09,0.046, ,-0.143,0.095, ,0,0
48746,351.03,6,450.383383,1.6,8.7, ,-0.021,0.038, ,-0.038,0.088, ,0,0
48747,351.03,7,510.120595,9.0,17.0, ,0.126,0.069, ,-0.164,0.099, ,0,0
48748,351.03,8,569.857808,17.0,11.0, ,-0.034,0.05, ,0.116,0.079, ,0,0
48749,351.03,9,629.59502,-16.2,9.6, ,0.024,0.041, ,0.089,0.077, ,0,0
48750,351.03,11,749.069445,17.0,18.0, ,-0.016,0.08, ,0.056,0.087, ,0,0
48751,351.03,12,808.806657,19.0,12.0, ,-0.017,0.054, ,-0.18,0.1, ,0,0
48752,351.03,13,868.54387,-12.0,10.0, ,-0.022,0.054, ,0.199,0.076, ,0,0
48753,351.03,14,928.281082,17.0,10.0,*,-0.067,0.048,*,0.073,0.07, ,0,0
48754,351.03,15,988.018295,-5.6,8.1, ,-0.043,0.038, ,0.118,0.078, ,0,0
48755,351.03,18,1167.229932,-12.0,10.0, ,0.014,0.048, ,-0.045,0.088, ,0,0
48756,351.03,20,1286.704357,-12.2,7.0, ,0.0,0.032, ,-0.031,0.086, ,0,0
48757,351.04,0,67.307678,11.0,17.0, ,0.125,0.063, ,0.12,0.094, ,0,0
48758,351.04,1,159.247016,-13.0,13.0, ,0.043,0.049, ,0.0,0.1, ,0,0
48759,351.04,2,251.186353,24.0,19.0, ,0.058,0.074, ,-0.01,0.1, ,0,0
48760,351.04,4,435.065028,11.9,8.2, ,-0.088,0.036, ,0.37,0.08, ,0,0
48761,351.04,5,527.004365,-10.0,15.0, ,-0.023,0.057, ,0.02,0.11, ,0,0
48762,351.04,6,618.943703,-15.0,18.0, ,0.001,0.074, ,-0.22,0.14, ,0,0
48763,351.04,8,802.822377,-17.0,13.0, ,0.03,0.053, ,0.053,0.099, ,0,0
48764,351.04,9,894.761715,-22.0,17.0, ,0.015,0.067, ,-0.16,0.12, ,0,0
48765,351.04,10,986.701052,0.0,21.0, ,0.007,0.087, ,-0.33,0.16, ,0,0
48766,351.04,12,1170.579727,-2.2,9.8, ,-0.061,0.041, ,0.158,0.093, ,0,0
48767,351.04,13,1262.519064,32.0,23.0, ,-0.018,0.094, ,-0.11,0.13, ,0,0
48768,351.04,14,1354.458401,0.0,11.0, ,0.001,0.042, ,0.052,0.099, ,0,0
