pl_name,pl_letter,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenlim,pl_bmasse,pl_bmasseerr1,pl_bmassprov,pl_rade,pl_radeerr1,pl_orbincl,pl_orbinclerr1,pl_tranmid,pl_tranmiderr1,st_mass,st_masserr1,st_rad,st_raderr1,st_teff,pl_refname,st_refname,pl_pubdate,disc_refname
"KOI-351 b","b",1,7.00815100000,0.00001900000,-0.00001900000,0.0740000000,0.0160000000,,,,,,,1.31000000,0.17000000,89.40000,1.50000,2454970.69060000,0.00170000,1.200000,0.100000,1.200000,0.100000,6080.00,"<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>","2014-01","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 b","b",0,7.00821787000,0.00004701000,-0.00004701000,0.0738000000,,0.000000,,0,,,,1.29000000,0.21000000,89.36000,,2454970.67164000,0.00526000,1.089000,0.089000,1.200000,0.195000,5970.00,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","2017-08-31 00:00","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 b","b",0,7.00821787000,0.00004701000,-0.00004701000,,,,,0,,,,,,,,2454970.67164000,0.00526000,1.120000,,1.247730,,6031.13,"<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2018-08-16","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 b","b",0,7.00823300000,0.00008800000,-0.00008800000,0.0750000000,,0.000000,,0,,,,1.16000000,0.51000000,88.81000,,2454970.67170000,0.00680000,1.140000,0.120000,1.070000,0.460000,6330.00,"<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>","<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>","2014-01-08","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 b","b",0,7.00823498380,0.00005849300,-0.00005849300,,,,,,,,,,,,,2454970.67383000,0.00541644,1.120000,,1.247730,,6031.13,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2019-03","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 b","b",0,7.00828076000,0.00004397000,-0.00004397000,0.0709000000,,0.000000,,0,,,,1.15000000,0.45000000,89.95000,,2454970.66899000,0.00482000,0.967000,0.144000,1.054000,0.408000,6238.00,"<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>","2014-12-04","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 b","b",0,7.00828076000,0.00004397000,-0.00004397000,0.0709000000,,0.000000,,0,,,,1.15000000,0.45000000,89.95000,,2454970.66899000,0.00482000,0.967000,0.144000,1.054000,0.408000,6238.00,"<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>","2014-12-18","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 b","b",0,7.00828076000,0.00004397000,-0.00004397000,0.0742000000,0.0007500000,,,,,,,1.30000000,0.06500000,,,,,1.108000,0.035000,1.185000,0.031000,6015.00,"<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>","<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>","2018-12","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 b","b",0,7.00828076000,,,0.0741641627,,0.000000,,0,,,,1.30000000,0.06500000,,,,,1.108000,0.030500,,,,"<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>","<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>","2024-01","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
"KOI-351 c","c",1,8.71937500000,0.00002700000,-0.00002700000,0.0890000000,0.0120000000,,,,,,,1.19000000,0.14000000,89.68000,0.74000,2454972.56870000,0.00230000,1.200000,0.100000,1.200000,0.100000,6080.00,"<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>","2014-01","<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>"
